epoch,train_loss,train_rmse,val_rmse,test_rmse,learning_rate
1,9568.757414798572,97.820025655911,84.84973929668975,72.34445889447026,1e-05
2,8169.12578848866,90.38321629933787,84.52774134020943,72.00623756326935,2e-05
3,8079.101335606237,89.88382130660003,83.86431691582479,71.30915504297066,3e-05
4,7934.121715255048,89.07368709889319,82.84175247629139,70.23539037801093,4e-05
5,7726.939002968392,87.90300923538648,81.4414233447637,68.76378786430769,5e-05
6,7454.113398366427,86.33720751902871,79.63000674234469,66.87058290955638,6e-05
7,7115.9779267595895,84.3562561747369,77.35003447457086,64.56284177459186,7.000000000000001e-05
8,6701.111015557017,81.8603140558738,74.5439516521701,61.56970127494208,8e-05
9,6223.451389768721,78.88885456350616,71.22090611975887,58.04897296065436,9e-05
10,5687.89615179834,75.41814189395924,67.33227903116233,53.89620371913842,0.0001
11,5103.627461337674,71.43967687999373,62.93346311813554,49.14187941322339,0.00010999999999999999
12,4464.55564397657,66.8173305211839,57.985568566630256,43.762553317129566,0.00012
13,3821.252671660544,61.81628154187699,52.62735179826336,37.54715721242125,0.00013000000000000002
14,3220.664248140352,56.750896346226064,47.32728588904874,31.753665625248388,0.00014000000000000001
15,2695.300280530924,51.916281428081106,42.29064553968357,26.539998739512125,0.00015
16,2252.4744660889232,47.46024082799167,37.869049405085285,21.8259249122333,0.00016
17,1901.2964660581763,43.60385834554184,34.490113427803294,18.582441360553638,0.00017
18,1652.2224826032664,40.647539518789515,31.048336981954044,17.57291231738219,0.00018
19,1457.1614786574626,38.172784563496,28.779906807042998,16.319874450312568,0.00018999999999999998
20,1292.3370161241353,35.94908926302862,26.223312103414422,16.134357084289594,0.0002
21,1152.8254313632267,33.95328308853558,24.755625948552566,16.89189155046776,0.00021
22,1034.3777755086685,32.16174390770542,24.163237770953796,18.98097662231953,0.00021999999999999998
23,946.4539591938095,30.764491781825406,22.92544825134483,20.301635386689277,0.00023
24,880.9134854350737,29.680186737875076,22.393513796962832,20.193697249706474,0.00024
25,820.8092374026837,28.6497684682072,22.525453690243523,21.344545525152295,0.00025
26,780.9163380572996,27.94488026580298,23.261149940562838,22.023836376020558,0.00026000000000000003
27,721.2473772651135,26.856049123400908,22.188900540690675,22.819074878719995,0.00027
28,690.5022382293356,26.277409258602137,22.493949474446282,27.862339580855345,0.00028000000000000003
29,670.803251288358,25.899869746798093,23.84375482937449,23.495071039896153,0.00029
30,645.6346501405552,25.409341803025395,24.370249265940533,31.282610926237943,0.0003
31,610.0914222337656,24.70002874129963,23.37487995959817,26.25720385240034,0.00031
32,567.9612310539459,23.83193723310164,24.633257569503087,27.45972461339658,0.00032
33,560.0414060549347,23.665193989280326,22.981249916866982,28.16570057671059,0.00033
34,513.3327129862843,22.656846892030696,27.76083460150822,35.469430382322706,0.00034
35,472.971737286079,21.747913337225377,25.1527266293898,30.280387137774266,0.00035000000000000005
36,450.1615100525931,21.21700986402923,24.215179644836436,31.291113968741875,0.00036
37,432.9432077841634,20.80728736421562,26.24002342459203,31.469656422168317,0.00037
38,414.54115840892854,20.360283878721358,25.466784050520097,35.86630419010125,0.00037999999999999997
39,381.63053423399674,19.535366203768756,22.701556517383523,32.627320821285046,0.00039
40,357.89027419390914,18.917988136013072,27.903742677740542,33.83877334383446,0.0004
41,367.3864599843067,19.16732787051481,26.399649279590935,36.26976888717761,0.00041
42,337.3511702908188,18.367122008355377,25.771281440462975,36.66970571559478,0.00042
43,319.11074220488206,17.86367100855176,27.52811073220817,38.18993065969841,0.00043000000000000004
44,312.94622974382173,17.69028632816888,27.87398750904917,39.68954383800189,0.00043999999999999996
45,329.50661908911616,18.15231722301669,24.720050541763463,38.22097502798516,0.00045
46,293.33109641891804,17.126911427989516,25.50348192847048,37.9670069245216,0.00046
47,278.15616341805065,16.67801437361798,27.471700945433284,42.0429038480308,0.00047
48,274.7759240392397,16.57636640736256,24.803101173509432,38.18408195083162,0.00048
49,259.6492195210873,16.113634609594843,24.317378426574273,35.10232582390199,0.00049
50,252.09446487565572,15.87748295489573,24.887428201587763,37.258502812062254,0.0005
51,232.92645047361853,15.261928099550662,25.130525995025618,40.02448818806979,0.00049999967562037
52,241.05017928286506,15.52579078732009,26.653039837535395,44.8422092589678,0.0004999987024823217
53,234.7886047471919,15.322813178598064,25.154122890742627,38.69129370130703,0.0004999970805883813
54,223.48516577488354,14.949420272345005,25.83134086934495,39.43759824849612,0.0004999948099427582
55,207.64127745959175,14.409763319673154,26.029424340936256,38.42267158562902,0.0004999918905513462
56,197.15702177895255,14.04126140814143,24.669119792261377,34.59408190574992,0.0004999883224217225
57,196.3457333999536,14.01234215325627,25.05661635331918,36.24502089551342,0.0004999841055631486
