epoch,train_loss,train_rmse,val_rmse,test_rmse,learning_rate
1,8347.699413380189,91.36574526072114,36.300754492112645,22.61765568997721,2e-06
2,1948.9946770452061,44.147419925328364,34.94036858561923,21.006536596460414,4e-06
3,1856.5880321874754,43.08814250778026,33.60881785776923,21.529736999566705,6e-06
4,1762.042348515208,41.97668810950208,32.329685395729186,23.35894807674506,8e-06
5,1671.6820849074497,40.88620901978196,31.475062019256214,25.985100559662786,1e-05
6,1566.0136747465367,39.57289074053388,30.528011503111248,28.158428607314626,1.2e-05
7,1456.9995084957714,38.17066293079989,28.845854146759454,28.548680642378507,1.4e-05
8,1394.6567457729607,37.34510345759286,27.903882095709907,29.41878224386192,1.6e-05
9,1333.684125558604,36.51964018576685,27.135504627371546,28.290035065593106,1.8e-05
10,1314.7144925653429,36.25899180043231,27.77837822322,31.353339214890067,2e-05
11,1273.6092669616446,35.687662644136346,29.54955620359449,32.945752839364566,2.2000000000000003e-05
12,1290.6043008402921,35.92498148704574,30.06580992603254,36.13155094258148,2.4e-05
13,1274.0880901839457,35.69437057772259,28.9027202390136,33.63279038470583,2.6000000000000002e-05
14,1239.1487886632278,35.20154531013016,29.083411359491564,30.633341538922448,2.8e-05
15,1221.3990322338313,34.948519814760814,29.919531547483057,35.91140617390246,3e-05
16,1204.7524561068037,34.709544199032166,30.558113368293075,33.786838661015345,3.2e-05
17,1175.122607739887,34.280061332322695,27.80122981430604,28.44611879335844,3.4e-05
18,1100.2780581926263,33.170439482647865,29.093668912928617,32.04128323501138,3.6e-05
19,1084.0628447815589,32.92510960914728,30.50646251486312,35.670709779976896,3.8e-05
20,992.1781507521129,31.49885953330085,32.940147803875085,39.420555430170985,4e-05
21,936.940087807479,30.609477087271276,30.213837822639185,32.43941228130107,4.2000000000000004e-05
22,880.7119972899208,29.67679221795018,29.953210101537913,37.04785823905309,4.4000000000000006e-05
23,828.0103133856334,28.77516834759634,30.617340533551335,39.37448564942061,4.6e-05
24,774.9380120892897,27.83770846788985,33.224984322463534,40.34372260917846,4.8e-05
25,719.3243094562739,26.820221942597914,36.69347246204613,45.34479360558974,5e-05
26,696.1031022351425,26.383765805657156,34.73152121128143,41.839464850252206,5.2000000000000004e-05
27,657.3295463592549,25.638438838934483,34.41113817794103,42.78616393003576,5.4000000000000005e-05
28,612.7303239431168,24.75339011282838,33.85571816299131,39.25624754422312,5.6e-05
29,565.0676566521008,23.771151772417596,32.743549101133716,40.63911684782946,5.800000000000001e-05
30,527.8727970770191,22.975482493062174,34.401655751539764,37.741323345406315,6e-05
31,514.7216111413466,22.687476944206274,35.6042088667567,40.84130923379151,6.2e-05
32,471.4445974102064,21.71277497129348,35.87601525860002,42.98232531482911,6.4e-05
33,463.43810714787037,21.527612657407985,34.22353290985897,37.87142589557013,6.6e-05
34,438.50056243975774,20.940405032207586,35.90725006132842,41.315421407701514,6.8e-05
35,409.2075670101813,20.22887951970552,35.71878163858928,39.151344520356844,7.000000000000001e-05
36,416.98807970455096,20.420285980622136,33.45440506025025,36.3075353687867,7.2e-05
37,396.23734796520165,19.9057114153444,33.32506261794785,36.45622435952834,7.400000000000001e-05
38,372.056442077521,19.288764667954457,38.59761566103717,40.8840203986328,7.6e-05
39,368.7629025238768,19.203200348501596,34.974753757105006,34.236615286626,7.8e-05
